article,comment,is_positive,thumbs_up,thumbs_down
"Towarzyska Oliwia Bieniuk integruje się z uczestniczkami ""Tańca z gwiazdami"". ""GIRLSSSSSS"" (ZDJĘCIA)","Jakie to wszystko smutne. Plastikowy, sztuczny świat...",0,53,1
"Towarzyska Oliwia Bieniuk integruje się z uczestniczkami ""Tańca z gwiazdami"". ""GIRLSSSSSS"" (ZDJĘCIA)",haj Girlsss howa areyou! iam sooo goood. fajansiarstwo,0,41,2
"Towarzyska Oliwia Bieniuk integruje się z uczestniczkami ""Tańca z gwiazdami"". ""GIRLSSSSSS"" (ZDJĘCIA)",BOMBA dziewczyna buhaha wybuchłam,0,35,4
"Towarzyska Oliwia Bieniuk integruje się z uczestniczkami ""Tańca z gwiazdami"". ""GIRLSSSSSS"" (ZDJĘCIA)",Żałosne są,0,25,1
"Towarzyska Oliwia Bieniuk integruje się z uczestniczkami ""Tańca z gwiazdami"". ""GIRLSSSSSS"" (ZDJĘCIA)",Kim ona jest ze ja ciagle promuja,0,25,2
"Towarzyska Oliwia Bieniuk integruje się z uczestniczkami ""Tańca z gwiazdami"". ""GIRLSSSSSS"" (ZDJĘCIA)",Jakas kpina,0,0,0
"Towarzyska Oliwia Bieniuk integruje się z uczestniczkami ""Tańca z gwiazdami"". ""GIRLSSSSSS"" (ZDJĘCIA)","Kto by pomyślał, że Oliwia będzie największą gwiazdą Tańca z Gwiazdami :D 
Pora zakończyć już ten format. 3-4 edycje ok, ale 25?????",0,1,0
"Towarzyska Oliwia Bieniuk integruje się z uczestniczkami ""Tańca z gwiazdami"". ""GIRLSSSSSS"" (ZDJĘCIA)",Piękna jest!,1,1,1
"Towarzyska Oliwia Bieniuk integruje się z uczestniczkami ""Tańca z gwiazdami"". ""GIRLSSSSSS"" (ZDJĘCIA)","Ciekawe, który decydent ""zaopiekuje się"" nią?",0,3,0
"Towarzyska Oliwia Bieniuk integruje się z uczestniczkami ""Tańca z gwiazdami"". ""GIRLSSSSSS"" (ZDJĘCIA)",A to Bomba się ustawia🤭🤭🤭🤭🤭zenujaca. ,0,3,0
"Towarzyska Oliwia Bieniuk integruje się z uczestniczkami ""Tańca z gwiazdami"". ""GIRLSSSSSS"" (ZDJĘCIA)","Kim są Ci ludzie? Myślałam, że to ma być Taniec z Gwiazdami...",0,8,0
"Towarzyska Oliwia Bieniuk integruje się z uczestniczkami ""Tańca z gwiazdami"". ""GIRLSSSSSS"" (ZDJĘCIA)",Dziewczę jest dorosłe i samo decyduje na co ma ochotę. A wy idealni w swoich idealnych światach i z idealnie wychowanymi dzieciątkami nie musicie tego oglądać. ,0,2,4
