article,comment,is_positive,thumbs_up,thumbs_down
Kolejny zwrot akcji ws. Ronaldo,"Jaki ""zwrot akcji""? 
Nie ma żadnej akcji, tylko medialny szum od wielu miesięcy.",0,0,0
Zobacz tabelę PKO Ekstraklasy,Mamy wyrównany poziom na dwie kolejki żadna drożyna nie zdobyła kompletu punktów.,0,0,0
Krychowiak oficjalnie w nowym klubie,"Niech ktos mi powie jaki jest cel tego artykulu ??? Wszedzie gdzie nie polezie jest sadzany na lawie, a polskie spoleczenstwo z niego gwiazde robi....",0,0,0
Krychowiak oficjalnie w nowym klubie,"cóż, troszkę smutne że Loko kupiło go za 12mln a sprzedaje za 2,5mln. Bo znaczy to że Krycha nie jest tak cenny jakby się chciało.",0,0,0
Krychowiak oficjalnie w nowym klubie,Poza Rosją zerowe zainteresowanie naszym gwiazdorem ?,0,1,2
Krychowiak oficjalnie w nowym klubie,Brawo Grzesiu! Po udanych Mistrzostwach Europy ten transfer do klasowego zespołu po prostu ci się należał!,1,1,0
#dziejesiewsporcie: Polska ma nowy tenisowy talent?! Wideo z synem Janowicza zachwyca,"Ktoś wie, co teraz porabia Janowicz ? Jest z rodziną na utrzymaniu tatusia-biznesmena ?",0,0,0
Nieudany transfer Pogoni. Fin odszedł,"Niech Ronaldo kupi Pogoń  ,nie pożaluje.",0,0,0
Nieudany transfer Pogoni. Fin odszedł,Jaka pomyłka jak rozegrał az 49 meczów ?? Po prostu ma teraz za slaba forme na pierwszy sklad.. Moze woli imprezki:),0,0,0
Nieudany transfer Pogoni. Fin odszedł,"Przecież to klub samych pomyłek , napastnicy Parzyszek i Zahović to też pomyłki a za chwilę pomyłką będzie można nazwać jeszcze kilku a nawet Trenera , co nie jest wykluczone.JeśliCzytaj całość
 klub grający w Pucharach Europy przegrywa wygrane mecze to jak nazwać klub?Też pomyłką?Co za dureń w tym klubie odpowiada za transfery?",0,1,1
Kane nie stawił się na treningu,"Jak był chciwy to podpisał długoletni kontrakt.Gdyby zrezygnował z podwyżki i nie podpisywał go,to teraz odszedłby za darmo i odbiłby sobie zarobki w nowym klubie.",0,0,0
Kane nie stawił się na treningu,Parówka....hajs hajs hajs hajs hajs hajs hajs haaaaaaaaaaaaaaajssss,0,0,2
Raków i Śląsk poznali kolejnych rywali,"Ten portal to dno i mam nadzieję, że młodzież z niego wiedzy nie czerpie! Po 1. Śląsk w ewntualnej 4 rundzie będzie grał z PRZEGRANYM z eliminacji LE Rapid- Famagusta a nie wygranym, PoCzytaj całość
 2. nie będzie rozstawiony gdyż pierwszy mecz będzie grał u siebie.",0,0,0
"Legia wie, z kim może zagrać o LM",Tresura perfekcyjna :),0,0,0
"Legia wie, z kim może zagrać o LM",Lepiej juz trafic nie mogli. Nie przekonuja te Balkanskie ekipy.,0,0,0
"Legia wie, z kim może zagrać o LM",Patrząc na grę w dwumeczu z Bodo i Florą chyba najbardziej optymistyczni kibice liczą na sukces z Chorwatami.,0,0,0
"Legia wie, z kim może zagrać o LM","Dziady i pały i tak odpadną, hańba dla Polski, biedaki, dziadostwo, złomiarze, Radom ich bije, pacynki :)))))) Buuuuuuuuuuuuachachachachachacha :)))))",0,0,0
"Legia wie, z kim może zagrać o LM",Dinamo nauczy ich pokory i tyle z tego będzie ,0,0,0
"Legia wie, z kim może zagrać o LM","@mokry 90: Gdybyś przeczytał artykuł, to byś wiedział.",0,0,1
"Legia wie, z kim może zagrać o LM",czy Legia nie powinna najpierw wygrac jeszcze jednego dwumeczu ?,0,1,0
"Legia wie, z kim może zagrać o LM","Zaparzamy kawkę, kroimy serniczek i czekamy na ""i tak nie awansuje!!!!!!"", ""przegra 0-8!!!!!"", ""buachachachacha i tak odpadną!"". Start!",0,1,0
